Продукт,Морозильник,Холодильник,Комнатная температура
Говядина,180-360 суток,8 суток,не более 2 часов
Свинина,180-360 суток,2 суток,не более 2 часов
Домашняя птица,360 суток,1-2 суток,не более 3 часов
Вареная говядина,60-90 суток,5 суток,до 8 часов
Копчености,80-90 суток,14-28 суток,36 часов
Жареная курица,30 суток,3-4 суток,не более 2 часов
Ветчина,60-90 суток,5-7 суток,не более 2 часов
Свежие колбаски,30-60 суток,1-2 суток,не более 2 часов
Свежая рыба,30-60 суток,1-2 суток,1-2 часа
Котлета,до 360 суток,1-2 суток,6 часов
Паштет из печени,120-180 суток,3-5 суток,не более 2 часов
Сосиски-сардельки,120-180 суток,3-5 суток,не более 2 часов
Рыбное филе,90-360 суток,1-3 суток,1-2 часа
Креветки,90-180 суток,7-14 суток,1-2 часа
Фрикадельки,60-90 суток,3-4 суток,не более 2 часов
Сало,180-360 суток,14-21 сутки,не более 2 часов
Крабовые палочки,60-90 суток,3-5 суток,не более 2 часов
Чебуреки,до 90 суток,2-3 суток,не более 2 часов
Молоко,14-28 суток,5-7 суток,не более 2 часов
Сливки,14-28 суток,3-5 суток,не более 2 часов
Масло,180-360 суток,28-35 суток,1 сутки
Полутвёрдый сыр,90-180 суток,30-60 суток,3-5 суток
Сметана,60-90 суток,7-14 суток,2 часа
Кефир,30-90 суток,7-10 суток,4-5 часов
Творог,60-90 суток,5-7 суток,4-5 часов
Йогурт,30-60 суток,7-21 суток,2-3 суток
Рис,30-60 суток,3-4 суток,2 часа
Гречка,60-90 суток,3-4 суток,2 часа
Перловка,30-60 суток,3-4 суток,2 часа
Овсянка,30-60 суток,3-4 суток,2-4 часа
Манка,60-90 суток,2-3 суток,2 часа
Макароны,30-60 суток,3-5 суток,2 часа
Чай,30-60 суток,до 24 часов,2 часа
Кофе,30-60 суток,до 24 часов,30-60 минут
Какао,30-60 суток,до 24 часов,2 часа
Сок,240-360 суток,2-3 суток,2 часа
Кола,не более 1 часа,1-2 суток,5 часов
Кисель,60-90 суток,3-4 суток,2-3 часа
Компот,240-360 суток,5-7 суток,2-3 суток
Квас,не более 1 часа,3-4 суток,1-2 суток
Тыква,300-360 суток,4-5 суток,2-3 суток
Ананас,300-360 суток,2-3 суток,1-2 часа
Лимон,90-120 суток,2-3 суток,5 часов
Картофель,не более 2 часов,1-2 суток,5 часов
Помидоры,не более 2 часов,1-2 суток,1-2 часа
Спаржа,не более 2 часов,3-5 суток,1-2 суток
Свекла,300-360 суток,14-28 суток,7-14 суток
Брокколи,240-360 суток,3-5 суток,не более 2 часов
Морковь,300-360 суток,14-21 сутки,7-14 суток
Сельдерей,240-300 суток,7-14 суток,не более 2 часов
Кукуруза,240-360 суток,1-2 суток,не более 2 часов
Огурец,не более 2 часов,7-14 суток,не более 2 часов
Баклажан,240-360 суток,3-5 суток,не более 2 часов
Чеснок,240-360 суток,90-150 суток,30-60 суток
Имбирь,180-240 суток,30-60 суток,7-14 суток
Дыня,240-360 суток,3-5 суток,7-10 суток
Гриб,180-360 суток,4-7 суток,не более 2 часов
Петрушка,180-360 суток,7-14 суток,не более 2 часов
Зелёный лук,300-360 суток,60-90 суток,14-21 суток
Шпинат,240-360 суток,3-5 суток,не более 2 часов
Арбуз,120-180 суток,5-7 суток,2-3 суток
Горох,60-90 суток,5-7 суток,не более 2 часов
Фасоль,60-90 суток,3-5 суток,не более 2 часов
Ватрушки и сочники,30-60 суток,2-3 суток,1-2 суток
Торты с заварным кремом,не более 2 часов,2-4 суток,не более 2 часов
Безе,60-90 суток,7-14 суток,не более 2 часов
Брауни,60-90 суток,3-5 суток,2-3 суток
Варенье,до 365 суток,30-90 суток,20-50 суток
Мороженое,60-90 суток,2-5 часов,не более 2 часов
Мармелад,180-240 суток,14-28 суток,не более 2 часов
Печенье,60-180 суток,10-14 суток,7-10 суток
Суфле,не более 2 часов,1-2 суток,не более 2 часов
Шоколад,360-720 суток,180-360 суток,180-360 суток
Хлеб,180-270 суток,3-7 суток,2-3 суток
Супы,60-90 суток,3-4 суток,до 3 часов
Соусы,60-90 суток,3-7 суток,до 3 часов
